Frame,Label,Area,XM,YM,Major,Minor,Angle
183,1N4148WS_300V_2.avi:12.20 s,0.034,1.287,1.116,0.268,0.162,91.560
184,1N4148WS_300V_2.avi:12.26 s,0.034,1.281,1.113,0.269,0.161,92.132
185,1N4148WS_300V_2.avi:12.33 s,0.034,1.275,1.112,0.269,0.161,93.309
186,1N4148WS_300V_2.avi:12.40 s,0.034,1.268,1.111,0.267,0.161,94.005
187,1N4148WS_300V_2.avi:12.46 s,0.034,1.262,1.110,0.267,0.161,94.579
188,1N4148WS_300V_2.avi:12.53 s,0.034,1.255,1.111,0.267,0.162,94.108
189,1N4148WS_300V_2.avi:12.60 s,0.034,1.248,1.112,0.269,0.161,93.828
190,1N4148WS_300V_2.avi:12.66 s,0.034,1.240,1.111,0.268,0.162,92.978
191,1N4148WS_300V_2.avi:12.73 s,0.034,1.232,1.111,0.268,0.161,91.559
192,1N4148WS_300V_2.avi:12.80 s,0.034,1.226,1.112,0.269,0.161,91.341
193,1N4148WS_300V_2.avi:12.86 s,0.034,1.219,1.114,0.270,0.161,90.749
194,1N4148WS_300V_2.avi:12.93 s,0.034,1.212,1.115,0.268,0.161,90.700
195,1N4148WS_300V_2.avi:13.00 s,0.034,1.206,1.116,0.269,0.161,90.847
196,1N4148WS_300V_2.avi:13.06 s,0.034,1.200,1.115,0.267,0.160,90.968
197,1N4148WS_300V_2.avi:13.13 s,0.034,1.195,1.115,0.265,0.162,91.385
198,1N4148WS_300V_2.avi:13.20 s,0.034,1.190,1.114,0.270,0.160,91.831
199,1N4148WS_300V_2.avi:13.26 s,0.034,1.185,1.111,0.268,0.162,91.675
200,1N4148WS_300V_2.avi:13.33 s,0.034,1.182,1.112,0.268,0.162,92.455
201,1N4148WS_300V_2.avi:13.40 s,0.034,1.178,1.107,0.267,0.161,92.302
202,1N4148WS_300V_2.avi:13.46 s,0.034,1.176,1.106,0.266,0.162,91.961
203,1N4148WS_300V_2.avi:13.53 s,0.034,1.173,1.100,0.269,0.161,92.713
204,1N4148WS_300V_2.avi:13.60 s,0.034,1.172,1.094,0.268,0.162,92.379
205,1N4148WS_300V_2.avi:13.66 s,0.034,1.171,1.089,0.267,0.161,92.685
206,1N4148WS_300V_2.avi:13.73 s,0.033,1.171,1.083,0.265,0.160,92.648
207,1N4148WS_300V_2.avi:13.80 s,0.034,1.171,1.077,0.267,0.160,94.018
208,1N4148WS_300V_2.avi:13.86 s,0.034,1.171,1.070,0.267,0.162,95.223
209,1N4148WS_300V_2.avi:13.93 s,0.034,1.170,1.064,0.265,0.162,96.709
210,1N4148WS_300V_2.avi:14.00 s,0.034,1.170,1.057,0.267,0.163,97.022
211,1N4148WS_300V_2.avi:14.06 s,0.034,1.170,1.051,0.267,0.162,97.568
212,1N4148WS_300V_2.avi:14.13 s,0.034,1.169,1.046,0.267,0.162,97.668
213,1N4148WS_300V_2.avi:14.20 s,0.034,1.169,1.039,0.267,0.162,97.619
214,1N4148WS_300V_2.avi:14.26 s,0.034,1.168,1.034,0.268,0.161,97.770
215,1N4148WS_300V_2.avi:14.33 s,0.034,1.169,1.027,0.268,0.162,97.141
216,1N4148WS_300V_2.avi:14.40 s,0.034,1.168,1.022,0.267,0.161,97.520
217,1N4148WS_300V_2.avi:14.46 s,0.034,1.168,1.017,0.265,0.162,97.379
218,1N4148WS_300V_2.avi:14.53 s,0.034,1.168,1.013,0.268,0.161,97.047
219,1N4148WS_300V_2.avi:14.60 s,0.034,1.167,1.011,0.267,0.161,96.569
220,1N4148WS_300V_2.avi:14.66 s,0.034,1.168,1.010,0.267,0.161,96.382
221,1N4148WS_300V_2.avi:14.73 s,0.034,1.168,1.011,0.269,0.161,95.671
222,1N4148WS_300V_2.avi:14.80 s,0.034,1.169,1.013,0.269,0.161,95.584
223,1N4148WS_300V_2.avi:14.86 s,0.034,1.169,1.016,0.266,0.162,96.503
224,1N4148WS_300V_2.avi:14.93 s,0.034,1.169,1.019,0.268,0.161,96.602
225,1N4148WS_300V_2.avi:15.00 s,0.034,1.169,1.022,0.268,0.162,97.242
226,1N4148WS_300V_2.avi:15.06 s,0.034,1.169,1.026,0.267,0.160,98.125
227,1N4148WS_300V_2.avi:15.13 s,0.034,1.168,1.029,0.268,0.161,98.907
228,1N4148WS_300V_2.avi:15.20 s,0.034,1.167,1.034,0.267,0.161,99.332
229,1N4148WS_300V_2.avi:15.26 s,0.034,1.166,1.038,0.267,0.162,99.228
230,1N4148WS_300V_2.avi:15.33 s,0.034,1.166,1.043,0.268,0.162,98.592
231,1N4148WS_300V_2.avi:15.40 s,0.034,1.165,1.047,0.270,0.160,98.683
232,1N4148WS_300V_2.avi:15.46 s,0.034,1.165,1.052,0.267,0.160,98.392
233,1N4148WS_300V_2.avi:15.53 s,0.034,1.164,1.057,0.267,0.162,98.347
234,1N4148WS_300V_2.avi:15.60 s,0.034,1.164,1.061,0.268,0.161,98.230
235,1N4148WS_300V_2.avi:15.66 s,0.034,1.164,1.067,0.268,0.161,98.134
